data;hora;natureza_acidente;situacao;bairro;endereco;numero;detalhe_endereco_acidente;complemento;endereco_cruzamento;numero_cruzamento;referencia_cruzamento;bairro_cruzamento;num_semaforo;sentido_via;tipo;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3
2020-02-12;07:08:00;SEM VÍTIMA;CANCELADA;JORDÃO;AV BEIRA RIO;20F;;POLO DA COXINHA// MERY CONFECÇÃO;AV BEIRA RIO;20F;POLO DA COXINHA// MERY CONFECÇÃO;JORDÃO;;CIDADE;COLISÃO;COLISAO S/ VÍTIMA. ENTRE SAVEIRO E MOTO;1;1;;;;;;;;0;;;;;;;;;;;;;;
2020-02-12;07:18:00;SEM VÍTIMA;FINALIZADA;MADALENA;AV BEIRA RIO;591;;EDF: SOBRADO DO CAPIBARIBE;AV BEIRA RIO;591;EDF: SOBRADO DO CAPIBARIBE;MADALENA;;SUBURBIO;COLISÃO;COLISAO S/ VÍTIMA ENTRE DOIS VEICULOS.;2;;;;;;;;;0;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Outros;;;Dupla;Faixa seccionada;;
2020-02-12;07:40:00;SEM VÍTIMA;FINALIZADA;AFOGADOS;EST DOS REMEDIOS;367;RUA DO ACRE;EM FRENTE A PAPELARIA VASCONCELOS, SENT. ABDIAS;EST DOS REMEDIOS;367;EM FRENTE A PAPELARIA VASCONCELOS, SENT. ABDIAS;AFOGADOS;;;COLISÃO;CAMINHÃO E AUTO;1;;;;;;1;;;0;;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;30 km/h;Única;Faixa seccionada;;
2020-02-12;08:07:00;SEM VÍTIMA;CANCELADA;PRADO;AV ENGENHEIRO ABDIAS DE CARVALHO;;RUA JOAO IVO DA SILVA;POSTO BR ,OS VEICULOS ESTÃO NO ESTACIONAMENTO DO POSTO;AV ENGENHEIRO ABDIAS DE CARVALHO;;POSTO BR ,OS VEICULOS ESTÃO NO ESTACIONAMENTO DO POSTO;PRADO;132;CIDADE;COLISÃO;SEM VÍTIMAS;2;;;;;;;;;0;;;;;;;;;;;;;;
2020-02-12;08:12:00;COM VÍTIMA;FINALIZADA;SANTO ANTÔNIO;AV MARTINS DE BARROS;;PTE CONDE MAURICIO DE NASSAU;PRÓXIMO A PARADA DO BRT.;AV MARTINS DE BARROS;;PRÓXIMO A PARADA DO BRT.;SANTO ANTÔNIO;;;ATROPELAMENTO;BRT E PEDESTRE;;;;;1;1;;;;1;;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;30 km/h;Única;Canteiro central;;
2020-02-12;08:55:00;SEM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA MINISTRO NELSON HUNGRIA;334;RUA PROFESSOR JOSE BRANDAO;PROX. AO COLEGIO SANTA MARIA;RUA MINISTRO NELSON HUNGRIA;334;PROX. AO COLEGIO SANTA MARIA;BOA VIAGEM;;SUBURBIO;COLISÃO;DOIS AUTOS;2;;;;;;;;;0;;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Placas Pare;;Única;Não existe;;
2020-02-12;09:03:00;SEM VÍTIMA;FINALIZADA;DERBY;RUA GUILHERME PINTO;360;RUA MANOEL CAETANO;BLOCO B DA UNINASSAU// PRAÇA GUILHERME PINTO// QUARTEL DO DERBY;RUA GUILHERME PINTO;360;BLOCO B DA UNINASSAU// PRAÇA GUILHERME PINTO// QUARTEL DO DERBY;DERBY;;CIDADE;COLISÃO;COLISAO S/ VÍTIMA. ENTRE DOIS VEICULOS;2;;;;;;;;;0;;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;R-6a;20 km/h;Única;Não existe;;
2020-02-12;09:03:00;SEM VÍTIMA;FINALIZADA;BOA VISTA;RUA BARAO DE SAO BORJA;156;RUA JOSE DE ALENCAR;PROX. AO SHOPPING BOA VISTA;RUA BARAO DE SAO BORJA;156;PROX. AO SHOPPING BOA VISTA;BOA VISTA;;SUBURBIO;COLISÃO;CAMINHÃO E AUTOVT- 29 NO LOCAL;1;;;;;;1;;;0;;Cruzamento;Chuvoso;Não existe;Incompleta;Molhada;Perfeito estado;Não existe;R-4b;;Única;Não existe;;
2020-02-12;09:16:00;SEM VÍTIMA;FINALIZADA;MACAXEIRA;AV NORTE;;;NO GIRADORO DA MACAXEIRA;AV NORTE;;NO GIRADORO DA MACAXEIRA;MACAXEIRA;;SUBURBIO;COLISÃO;SEM VÍTIMAS CTTU NO LOCAL;2;;;;;;;;;0;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;R-6a;;Única;Não existe;;
2020-02-12;09:21:00;SEM VÍTIMA;FINALIZADA;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;4805;;EM FRENTE AO MARTELINHO DE OURO, SENT. AFOGADOS;AV MARECHAL MASCARENHAS DE MORAES;4805;EM FRENTE AO MARTELINHO DE OURO, SENT. AFOGADOS;IMBIRIBEIRA;;SUBURBIO;ABALROAMENTO LONGITUDINAL;DOIS AUTOS;2;;;;;;;;;0;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Canteiro central;;
2020-02-12;09:36:00;SEM VÍTIMA;FINALIZADA;CASA FORTE;EST REAL DO POCO;1465;;PROX: PRAÇA DE CASA FORTE;EST REAL DO POCO;1465;PROX: PRAÇA DE CASA FORTE;CASA FORTE;;CIDADE;COLISÃO;COLISAO S/ VÍTIMA ENTRE DOIS VEICULOS;2;;;;;;;;;0;;Esquina;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;40 km/h;Dupla;Faixa seccionada;;
2020-02-12;09:37:00;SEM VÍTIMA;FINALIZADA;CAXANGÁ;AV JOAQUIM RIBEIRO;740;;EM FRENTE A MADEIREIRA ESPLENDOR;AV JOAQUIM RIBEIRO;740;EM FRENTE A MADEIREIRA ESPLENDOR;CAXANGÁ;;SUBURBIO;ENGAVETAMENTO;TRES AUTOS;3;;;;;;;;;0;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Faixa seccionada;Canteiro central;
2020-02-12;09:47:00;SEM VÍTIMA;FINALIZADA;CASA FORTE;EST DO ENCANAMENTO;1210;RUA IRMA LUCIA;IGREJA PRESBITERIANA;EST DO ENCANAMENTO;1210;IGREJA PRESBITERIANA;CASA FORTE;;SUBURBIO;COLISÃO;COLISAO S/ VÍTIMA ENTRE MOTO E VEICULO;1;1;;;;;;;;0;;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Placas Pare;;Única;Não existe;;
2020-02-12;10:01:00;SEM VÍTIMA;CANCELADA;JARDIM SÃO PAULO;AV RECIFE;5555;;PROX. A JUSTIÇA FEDERAL, SENT. BOA VIAGEM;AV RECIFE;5555;PROX. A JUSTIÇA FEDERAL, SENT. BOA VIAGEM;JARDIM SÃO PAULO;;;ENGAVETAMENTO;CINCO AUTOS;5;;;;;;;;;0;;;;;;;;;;;;;;
2020-02-12;11:16:00;SEM VÍTIMA;CANCELADA;GRAÇAS;AV RUI BARBOSA;251;;EM FRENTE AO ESTACIONAMENTO DO BANCO ITAU;AV RUI BARBOSA;251;EM FRENTE AO ESTACIONAMENTO DO BANCO ITAU;GRAÇAS;;;COLISÃO;DOIS AUTOS;2;;;;;;;;;0;;;;;;;;;;;;;;
2020-02-12;11:33:00;SEM VÍTIMA;FINALIZADA;BOA VISTA;RUA JOSE DE ALENCAR;137;RUA BARAO DE SAO BORJA;EM FRENTE AO HOTEL BOA VISTA;RUA JOSE DE ALENCAR;137;EM FRENTE AO HOTEL BOA VISTA;BOA VISTA;;CIDADE;COLISÃO;DOIS AUTOS;2;;;;;;;;;0;;Cruzamento;Bom;Não existe;Incompleta;Seca;Perfeito estado;Não existe;R-4b;;Única;Não existe;;
2020-02-12;11:33:00;SEM VÍTIMA;FINALIZADA;GRAÇAS;AV GOVERNADOR AGAMENON MAGALHAES;;;EM FRENTE A ESCOLA ESTADUAL BARBOSA LIMA, SENT. BOA VIAGEM;AV GOVERNADOR AGAMENON MAGALHAES;;EM FRENTE A ESCOLA ESTADUAL BARBOSA LIMA, SENT. BOA VIAGEM;GRAÇAS;37;;COLISÃO;AUTO E CAMINHÃO;1;;;;;;1;;;0;;Esquina;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;60 km/h;Dupla;Faixa seccionada;Canteiro central;Canal
2020-02-12;11:44:00;SEM VÍTIMA;FINALIZADA;PINA;AV HERCULANO BANDEIRA;563;RUA SAO LUIZ;EM FRENTE AO TABELIONATO FIGUEIREDO;AV HERCULANO BANDEIRA;563;EM FRENTE AO TABELIONATO FIGUEIREDO;PINA;;SUBURBIO;COLISÃO;SEM VÍTIMAS;1;;;;;1;;;;0;;Cruzamento;Bom;Não existe;Incompleta;Seca;Perfeito estado;Não existe;Outras;30 km/h;Única;Faixa seccionada;;
2020-02-12;12:37:00;SEM VÍTIMA;FINALIZADA;CORDEIRO;AV ENGENHEIRO ABDIAS DE CARVALHO;;;COMPAZ;AV ENGENHEIRO ABDIAS DE CARVALHO;;COMPAZ;CORDEIRO;58;SUBURBIO;COLISÃO;;1;1;;;;;;;;0;;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Agente;Outras;60 km/h;Única;Canteiro central;;
2020-02-12;12:59:00;SEM VÍTIMA;FINALIZADA;SANTO AMARO;AV NORTE;68;RUA DA AURORA;E/F AO NUCLEO DE TELEVISÃO RADIO UNIVERSITÁRIA (SENT. AV NORTE);AV NORTE;68;E/F AO NUCLEO DE TELEVISÃO RADIO UNIVERSITÁRIA (SENT. AV NORTE);SANTO AMARO;;SUBURBIO;COLISÃO;COLISÃO S/VÍTIMAS ENTRE DUAS MOTOS E UM ONIBUS;;2;;;;1;;;;0;;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Canteiro central;;
2020-02-12;13:14:00;COM VÍTIMA;FINALIZADA;ENGENHO DO MEIO;RUA FRANCISCO BEZERRA MONTEIRO;602;RUA ANTONIO DA SILVA;PROX A RETORIA DA FEDERAL;RUA FRANCISCO BEZERRA MONTEIRO;602;PROX A RETORIA DA FEDERAL;ENGENHO DO MEIO;;ANTONIO CURADO;COLISÃO FRONTAL;COLISAO COM VÍTIMAS;1;1;;;;;;;;1;;Cruzamento;Bom;Não existe;Não existente;Seca;Mal conservada;Não existe;Não há placas;;Dupla;Não existe;;
2020-02-12;13:37:00;SEM VÍTIMA;FINALIZADA;JORDÃO;AV MARIA IRENE;865;;EM FRENTE A FRIOS E LANCHES;AV MARIA IRENE;865;EM FRENTE A FRIOS E LANCHES;JORDÃO;;CIDADE;COLISÃO;COLISÃO SEM VÍTIMA;1;;;;;;1;;;0;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Faixa contínua;;
2020-02-12;14:02:00;SEM VÍTIMA;FINALIZADA;BOA VISTA;AV GUARARAPES;;AV GUARARAPES;EM FRENTE AOS CORREIOS;AV GUARARAPES;;EM FRENTE AOS CORREIOS;BOA VISTA;14;SUBURBIO;COLISÃO;COLISAO SEM VÍTIMAS;2;;;;;;;;;0;;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Única;Faixa seccionada;;
2020-02-12;14:18:00;SEM VÍTIMA;CANCELADA;GRAÇAS;PRC DO ENTRONCAMENTO;;;EM FRENTE A PRAÇA DO ENTROCAMENTO E A PHARMAPELE/ SENTIDO DERBY;PRC DO ENTRONCAMENTO;;EM FRENTE A PRAÇA DO ENTROCAMENTO E A PHARMAPELE/ SENTIDO DERBY;GRAÇAS;;;COLISÃO;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;;;;;;;;;;;;;;
2020-02-12;14:25:00;SEM VÍTIMA;FINALIZADA;MADALENA;AV BEIRA RIO;;AV BEIRA RIO;EM CIMA DA PONTE DA CAPUNGA;AV BEIRA RIO;;EM CIMA DA PONTE DA CAPUNGA;MADALENA;387;SUBURBIO;COLISÃO;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;;Ponte;Bom;Sem defeito;Perfeito estado;Seca;;Agente;Não há placas;;Dupla;Faixa contínua;;
2020-02-12;14:30:00;SEM VÍTIMA;FINALIZADA;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;;RUA PEREIRA DA COSTA;E/F AO CLINICAL CENTER;AV ENGENHEIRO DOMINGOS FERREIRA;;E/F AO CLINICAL CENTER;BOA VIAGEM;142;SUBURBIO;COLISÃO;COLISAO SEM VÍTIMAS;2;;;;;;;;;0;;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Agente;Não há placas;60 km/h;Única;Canteiro central;;
2020-02-12;14:53:00;SEM VÍTIMA;FINALIZADA;DERBY;PTE DELMIRO GOUVEIA;;AV GOVERNADOR AGAMENON MAGALHAES;EM CIMA DA PONTE DELMIRO GOUVEIA;PTE DELMIRO GOUVEIA;;EM CIMA DA PONTE DELMIRO GOUVEIA;DERBY;75;CIDADE;COLISÃO;COLISÃO S/VÍTIMAS ENTRE DOIS AUTOS;2;;;;;;;;;0;;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de retenção;Outras;60 km/h;Dupla;Não existe;;
2020-02-12;15:01:00;SEM VÍTIMA;FINALIZADA;SANTO AMARO;AV CRUZ CABUGA;;;EM FRENTE AO HOSPITAL SANTA CASA DA MISERICORDIA;AV CRUZ CABUGA;;EM FRENTE AO HOSPITAL SANTA CASA DA MISERICORDIA;SANTO AMARO;344;SUBURBIO;COLISÃO;COLISAO SEM VÍTIMAS;1;;;;;1;;;;0;;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Não existe;;
2020-02-12;15:07:00;SEM VÍTIMA;FINALIZADA;SANTO AMARO;AV NORTE;128;;PROXIMO AO ESPAÇO CRESCENTE;AV NORTE;128;PROXIMO AO ESPAÇO CRESCENTE;SANTO AMARO;97;SUBURBIO;COLISÃO;COLISAO SEM VÍTIMAS;1;;;;;1;;;;0;;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;;;Dupla;Canteiro central;;
2020-02-12;15:08:00;SEM VÍTIMA;EQUIPE EM DESLOCAMENTO;BOA VISTA;RUA TABIRA;;AV GOVERNADOR AGAMENON MAGALHAES;E/F AO BRADESCO AUTO CENTER;RUA TABIRA;;E/F AO BRADESCO AUTO CENTER;BOA VISTA;;CIDADE;COLISÃO;COLISAO SEM VÍTIMAS;2;;;;;;;;;0;;Esquina;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Única;Faixa seccionada;;
2020-02-12;15:33:00;SEM VÍTIMA;FINALIZADA;BAIRRO DO RECIFE;AV ALFREDO LISBOA;;;EM FRENTE A ESCOLA MUNICIPAL NOSSA SENHORA DO PILAR;AV ALFREDO LISBOA;;EM FRENTE A ESCOLA MUNICIPAL NOSSA SENHORA DO PILAR;BAIRRO DO RECIFE;;SUBURBIO;COLISÃO;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;;60 km/h;Única;Faixa contínua;Faixa seccionada;
2020-02-12;15:37:00;SEM VÍTIMA;FINALIZADA;DERBY;RUA JENER DE SOUZA;449;RUA DA BAIXA VERDE;E/F AO QUARTEL DO DERBY;RUA JENER DE SOUZA;449;E/F AO QUARTEL DO DERBY;DERBY;;CIDADE;COLISÃO;COLISÃO S/VÍTIMAS ENTRE UM ONIBUS E UM AUTO;1;;;;;1;;;;0;;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;;Única;Canteiro central;;
2020-02-12;15:39:00;SEM VÍTIMA;FINALIZADA;ESPINHEIRO;RUA BARAO DE ITAMARACA;101;;ANTES DO SUPERMERCADO SOBERANO;RUA BARAO DE ITAMARACA;101;ANTES DO SUPERMERCADO SOBERANO;ESPINHEIRO;464;SUBURBIO;COLISÃO;COLISAO SEM VÍTIMAS;2;;;;;;;;;0;;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;R-6a;;Única;Não existe;;
